"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Western Africa","January",-0.35,-0.468,1.068,0.108,-0.165,0.148,-1.005,-1.12,0.526,1.052,-0.777,-0.086,0.228,-1.059,-1.444,-0.85,0.728,0.71,1.612,1.58,-0.998,-0.309,-1.631,-0.493,0.957,-0.862,0.797,-0.139,-1.226,0.408,1.089,-0.376,-0.974,-0.412,-1.009,2.088,1.494,0.436,0.55,1.818,0.259,-0.104,0.663,0.928,0.011,1.512,0.052,-1.111,0.059,1.779,0.623,-0.18,0.469,1.213,-0.139,1.171,1.041,0.213,0.491
"2","Western Africa","February",-1.571,-0.501,1.83,0.075,0.174,-0.001,-0.134,0.049,1.64,0.467,0.158,-0.074,0.581,-0.763,-0.65,-0.23,-0.38,1.002,0.149,0.474,0.272,-0.297,0.927,-0.562,-0.047,0.776,0.879,0.695,-1.208,-0.157,1.066,0.177,0.172,-0.035,-0.324,1.884,-0.18,2.135,-0.637,-1.026,-0.461,0.086,1.495,0.879,2.119,1.169,1.07,0.481,1.561,3.218,0.824,0.61,1.202,0.173,1.369,0.508,1.152,1.151,0.151
"3","Western Africa","March",-1.024,-0.05,-0.571,1.08,-0.286,-0.109,-0.335,-0.408,1.865,0.07,0.437,-0.028,0.273,-0.398,-0.178,-1.038,-0.362,0.305,0.857,0.695,0.92,0.172,0.29,0.894,1.003,0.556,0.719,1.415,-0.441,0.403,0.575,0.23,0.797,1.178,1.254,1.336,-0.035,0.581,1.205,0.51,1.214,1.119,0.924,0.57,2.242,1.243,0.951,1.619,1.4,1.997,2.045,0.651,2.468,0.535,0.721,1.778,1.795,1.704,1.063
"4","Western Africa","April",0.079,-0.118,-0.292,-0.206,-0.934,0.228,0.171,-0.608,0.193,0.377,-0.05,-0.343,0.89,-0.132,0.155,-0.343,0.22,0.216,0.462,1.331,1.05,0.708,1.32,1.037,-0.318,1.625,0.825,1.538,0.241,1.504,0.71,0.618,1.031,1.136,0.942,0.968,0.287,2.297,1.176,1.855,1.253,1.042,1.589,1.286,1.781,1.236,1.623,1.089,1.287,2.587,1.284,1.38,1.102,1.759,0.9,2.307,1.693,1.287,1.64
"5","Western Africa","May",0.578,-0.007,-0.524,0.053,-0.007,-0.086,0.384,-0.711,0.635,0.16,-0.162,-0.459,0.878,0.084,-0.265,-0.352,0.138,0.317,0.386,0.63,0.4,0.158,1.62,0.966,0.836,0.838,1.811,1.384,0.726,0.805,-0.245,0.123,1.192,0.822,0.924,1.271,0.321,1.538,0.888,1.489,1.148,1.28,1.077,1.115,1.296,0.579,1.273,0.965,1.034,1.846,1.225,0.836,1.322,0.703,1.803,1.726,1.401,1.328,1.709
"6","Western Africa","June",0.079,-0.325,0.337,-0.339,-0.488,0.07,-0.103,-0.554,0.503,0.749,0.208,-0.382,0.952,0.585,0.314,-0.246,0.58,-0.251,0.043,0.464,0.81,0.556,0.705,0.382,0.832,0.885,0.854,0.624,0.746,0.996,1.059,0.537,0.99,0.907,1.507,0.962,0.412,1.299,1.553,0.593,0.514,1.181,0.463,0.965,0.752,1.339,1.4,1.103,1.239,1.103,1.241,0.706,1.273,1.527,2.013,1.351,1.346,1.264,1.717
"7","Western Africa","July",-0.44,0.065,0.392,-0.317,-0.106,0.766,-0.246,-0.046,0.002,0.319,0.011,1.045,0.892,-0.267,-0.398,0.05,0.63,-0.245,0.572,0.342,0.202,0.865,1.184,0.66,0.02,0.157,1.975,0.368,0.536,0.195,0.419,0.042,0.92,0.144,1.24,1.281,1.228,1.311,0.483,0.549,0.799,1.372,0.795,0.438,0.82,1.592,1.077,0.712,1.414,0.961,1.408,0.335,1.156,1.774,1.702,1.079,1.191,1.198,1.508
"8","Western Africa","August",-0.436,-0.401,0.207,-0.75,-0.407,0.516,-0.516,0.833,0.083,0.099,-0.347,0.845,0.693,0.166,0.286,0.218,0.532,0.585,0.945,0.514,0.517,0.337,1.316,1.642,0.571,0.82,1.464,0.087,0.065,1.156,0.579,0.367,0.897,0.063,0.976,0.813,1.286,1.017,-0.138,0.676,0.916,1.118,0.798,0.95,1.086,1.027,0.523,0.823,1.226,0.852,1.056,0.451,0.485,0.932,1.302,1.205,1.227,0.938,1.181
"9","Western Africa","September",-0.336,-0.052,0.535,-0.587,-0.322,-0.286,-0.557,0.399,0.187,-0.05,-0.135,0.906,0.827,0.018,-0.293,0.252,0.528,0.091,0.772,0.854,0.403,1.031,1.175,0.761,0.273,0.146,1.409,0.494,0.796,0.978,0.937,0.512,0.731,0.011,0.985,0.446,1.269,0.593,0.049,0.998,0.694,1.457,0.771,1.19,1.218,0.847,1.062,0.999,0.957,0.478,1.15,0.426,0.746,0.84,1.149,1.441,1.71,0.914,1.552
"10","Western Africa","October",-0.267,0.196,-0.328,-0.625,0.191,-0.188,-0.517,0.196,-0.127,0.099,-0.206,0.987,0.438,-0.143,-0.076,-0.114,0.412,0.38,0.746,0.663,1.063,0.417,0.512,0.69,0.479,0.377,0.792,0.334,0.415,1.108,0.258,0.28,0.857,0.355,0.954,0.638,1.549,1.213,0.175,0.29,0.482,0.605,1.438,1.491,1.052,1.599,1.461,0.836,1.454,1.132,1.206,0.981,0.813,1.226,1.724,1.666,1.627,1.349,1.244
