"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Western Asia","January",0.585,0.374,1.926,-2.336,-0.139,2.243,-0.255,-0.657,0.154,0.805,0.662,-1.511,-1.209,-1.37,-0.567,-0.322,-1.534,0.574,1.17,-0.433,1.012,0.551,-1.742,0.464,1.741,0.554,0.565,-0.048,-2.355,-0.976,0.105,-2.842,-0.995,1.828,1.283,0.562,0.773,-0.295,1.637,-0.252,0.413,-0.634,1.437,1.402,0.539,0.374,-0.686,-2.08,0.044,2.684,1.1,0.216,1.484,1.392,1.188,0.688,0.748,1.464,2.147
"2","Western Asia","February",-0.649,0.381,1.894,-0.503,0.068,0.8,-1.697,-1.371,0.088,1.338,-0.327,-2.206,1.771,-0.745,-0.613,-1.506,1.551,0.981,1.918,-0.516,0.222,-2.129,-1.722,0.239,-1.419,0.506,1.566,0.057,-1.891,-0.735,-0.481,-3.157,-1.443,-0.119,0.789,1.007,-1.433,-0.091,2.128,-0.529,0.388,1.33,0.326,0.52,0.235,1.063,0.807,-1.091,1.999,2.667,0.659,-0.539,2.183,0.929,1.612,2.397,-0.816,3.055,1.258
"3","Western Asia","March",-1.027,1.934,-0.481,0.642,0.185,-0.123,-1.707,-0.323,2.036,0.664,0.464,-0.58,-0.103,0.12,-0.208,-1.318,0.809,0.432,0.692,0.384,0.591,-1.625,-1.741,0.562,-0.571,0.291,-1.382,0.122,0.217,-0.155,0.268,-2.613,-0.591,0.097,0.171,-0.308,-1.764,-0.68,0.401,-0.614,2.549,1.42,-0.812,1.715,0.871,1.151,0.461,3.325,0.581,2.59,0.096,-0.99,1.912,1.912,1.138,2.489,1.444,4.091,0.006
"4","Western Asia","April",-0.36,-0.02,0.144,-0.288,-1.141,0.471,-1.073,-0.573,-0.765,1.748,-1.08,0.344,0.462,-0.223,0.353,-0.441,-0.24,0.51,1.28,0.518,0.194,0.392,-0.951,0.131,0.27,0.558,-0.346,0.364,1.181,0.1,1.594,-0.682,-0.426,1.758,-0.109,-0.279,-1.055,1.338,1.292,2.504,1.629,0.243,0.852,0.374,1.402,0.861,0.173,2.418,0.465,1.62,0.489,1.736,1.041,2.562,0.849,1.898,2.045,1.768,-0.064
"5","Western Asia","May",0.229,0.502,-1.448,-0.516,-0.28,0.455,-0.592,-0.267,0.55,0.4,0.385,-0.961,0.307,-0.134,-0.071,-0.379,0.447,0.767,0.433,0.288,-0.834,0.011,0.51,-0.226,0.678,-0.596,0.835,0.859,0.95,0.574,-0.224,-0.549,-0.814,0.891,0.901,1.85,0.601,1.11,1.691,0.952,0.749,0.823,1.826,0.543,0.362,1.284,2.379,0.788,1.095,1.597,1.022,2.17,1.058,1.432,2.046,1.6,1.809,1.853,1.801
"6","Western Asia","June",0.256,0.696,-0.004,0.1,0.412,0.583,-1.043,-0.472,0.792,0.155,-0.845,0.101,-0.779,0.133,-0.129,-0.136,0.353,-0.428,0.619,0.683,-0.053,0.058,0.114,-0.528,-0.203,-0.32,0.203,0.174,-0.119,0.396,0.395,-0.074,0.025,0.296,0.67,0.414,0.731,1.73,1.208,0.943,0.931,0.941,1.136,0.695,0.634,2.103,1.46,1.23,1.756,2.026,1.282,2.137,0.864,1.063,0.414,2.001,1.832,1.948,2.878
"7","Western Asia","July",-0.191,1.225,0.446,-0.261,0.042,0.323,-0.606,0.301,-0.559,-0.002,0.097,-0.279,-0.096,-0.217,0.389,-0.688,0.295,0.367,-0.469,0.639,0.412,-0.647,0.096,-0.188,-0.584,0.42,0.925,0.767,0.751,0.643,-0.438,-0.955,0.219,-0.349,-0.128,1.527,0.414,1.611,0.971,2.501,1.289,1.65,0.705,1.055,1.267,0.796,1.159,1.275,0.971,2.094,1.766,2.272,1.339,1.188,1.696,1.799,2.949,1.996,1.34
"8","Western Asia","August",0.327,0.777,0.347,-0.719,0.416,0.98,-0.808,-0.841,0.057,-0.18,-0.131,-0.019,0.187,-0.253,-0.355,-0.451,0.91,-0.999,0.02,-0.122,0.222,-0.454,-0.149,-1.397,1.019,0.968,0.747,0.35,0.643,0.15,-0.264,0.087,0.613,0.215,0.881,1.25,-0.27,2.656,1.796,1.701,2.095,0.928,1.783,0.775,1.451,2.263,1.76,1.77,1.071,2.937,1.493,1.923,1.043,2.123,1.378,2.678,2.85,1.685,1.74
"9","Western Asia","September",-1.359,0.243,0.29,-0.601,0.52,0.311,-0.332,-0.273,0.319,-0.438,0.032,0.28,0.535,-0.315,0.759,-0.344,0.472,-0.567,1.084,-0.654,0.292,0.799,-0.255,0.186,0.128,0.836,0.702,0.505,0.033,0.279,-0.186,-0.279,0.591,0.977,0.276,0.403,0.092,1.599,1.147,0.513,1.311,1.057,0.409,0.587,0.637,0.835,1.52,1.504,0.521,2.318,1.241,1.55,0.845,1.129,2.88,1.31,2.514,2.469,2.123
"10","Western Asia","October",-0.378,0.326,0.455,-0.801,-0.876,0.697,0.118,0.06,0.366,-0.387,-1.142,0.716,0.281,0.81,-0.889,0.647,-1.079,0.157,0.693,0.121,0.42,-0.244,-1.159,-0.632,-0.848,0.505,-0.294,0.214,-0.103,0.432,0.262,0.046,0.838,1.166,-0.054,-0.388,0.462,0.933,1.241,-0.055,0.706,1.57,1.397,1.391,0.104,1.4,1.316,0.535,1.468,1.853,0.219,1.898,-0.297,0.999,2.42,1.065,1.176,1.656,2.818
"11","Western Asia","November",-0.069,1.475,0.3,-0.453,0.095,1.405,-0.485,0.814,-0.326,0.871,-0.285,-0.524,-1.625,0.191,-0.461,0.047,-0.174,-2.043,1.415,0.975,-0.731,-2.523,0.582,-0.201,1.27,-1.247,0.149,-0.745,0.605,1.186,0.537,-0.518,-0.589,0.312,-0.692,-0.005,0.175,2.224,0.848,-0.104,-0.047,0.87,0.544,0.732,-0.025,-0.42,0.776,0.513,0.859,1.962,-1.967,1.678,1.537,0.043,1.404,0.61,1.341,0.919,1.601
