"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Western Sahara","January",-1.001,1.021,1.363,-0.228,-1.724,1.485,0.611,-0.881,1.777,1.15,0.986,-0.497,-0.642,-0.37,0.357,-1.739,0.117,0.398,1.594,0.614,0.383,0.793,0.118,-0.36,-0.254,-0.232,1.026,-0.313,-0.503,-0.138,0.891,1.463,-0.598,-0.328,0.506,2.486,1.666,0.217,0.16,-0.91,1.324,2.17,0.616,1.005,-0.19,0.164,1.427,1.691,-0.888,2.544,1.939,0.53,0.707,0.886,0.45,3.146,1.107,0.808,0.685
"2","Western Sahara","February",1.181,-0.901,0.154,1.647,-0.318,2.303,-0.754,-1.139,2.128,1.696,-0.605,-1.223,-1.146,-0.845,0.214,-1.501,0.93,1.573,1.813,0.696,-0.678,0.316,0.194,0.245,1.859,-0.275,0.462,0.13,0.6,2.487,-0.524,0.819,-0.114,0.246,1.5,0.753,3.193,3.695,-0.61,1.42,0.997,2.364,-0.951,1.93,-1.575,-1.321,1.852,2.171,0.09,3.289,0.351,-0.742,1.119,0.284,0.161,1.733,1.257,-0.507,1.5
"3","Western Sahara","March",1.507,-0.403,1.327,1.175,1.501,-0.482,0.747,-1.922,2.424,-0.019,-1.996,-2.046,0.368,-2.339,-0.703,-1.107,2.117,0.913,0.192,0.579,2.464,1.222,2.631,-0.192,-0.111,0.141,1.874,1.536,0.918,3.108,-0.1,-0.197,0.983,0.689,0.17,0.786,2.054,2.611,0.018,2.308,2.037,1.191,1.754,0.995,1.907,1.775,0.54,2.69,0.759,2.433,-0.011,1.283,1.726,0.379,-0.331,-0.037,1.751,1.359,0.919
"4","Western Sahara","April",1.759,1.047,0.567,-0.924,0.05,1.462,-1.14,-0.371,-1.305,1.528,-1.429,-0.423,1.234,-2.14,-1.216,-1.529,1.843,-0.615,0.99,1.284,-0.346,-0.04,1.486,1.69,0.624,-0.075,4.516,0.324,-0.306,0.676,0.402,0.974,1.898,1.381,0.632,1.59,1.5,0.573,1.939,1.144,2.051,1.462,1.942,1.512,2.567,2.545,-0.276,3.253,1.028,3.037,2.124,-0.008,2.526,2.496,2.422,1.884,3.501,0.955,1.519
"5","Western Sahara","May",1.575,0.499,-0.915,4.362,0.314,1.126,0.15,-0.956,0.25,0.408,-2.759,-0.962,1.961,-0.134,-2.441,-2.699,-1.309,-1.221,1.87,-1.513,0.26,0.922,0.33,-1.378,-1.552,1.448,1.866,-0.569,0.944,0.638,-0.056,1.148,0.078,1.162,1.815,1.462,1.055,-1.129,1.868,0.734,0.087,0.465,1.873,-0.381,3.91,0.547,1.122,1.187,0.268,0.991,2.471,1.744,0.938,1.714,3.368,0.789,2.802,0.414,2.41
"6","Western Sahara","June",-0.199,0.163,-0.882,0.882,1.374,0.476,0.067,0.409,-1.088,-0.116,-0.171,-2.298,-0.273,0.624,-1.169,-0.178,0.015,-1.548,0.373,0.603,1.262,-0.188,0.833,1.099,1.308,-0.344,1.676,-0.541,0.451,0.99,1.091,-0.426,2.636,2.249,1.657,2.098,1.273,1.7,2.237,2.289,2.414,1.148,2.418,2.068,3.046,1.249,-0.015,1.325,1.931,0.224,3.192,2.34,0.977,1.722,1.811,1.865,3.09,1.176,1.851
"7","Western Sahara","July",1.86,0.829,1.602,1.588,-1.687,-2.28,0.859,0.585,0.892,1.44,-0.721,-1.851,-1.161,0.269,1.48,-3.125,-1.46,1.102,-0.582,-0.046,0.38,0.298,-0.024,3.051,1.034,0.014,-0.881,0.948,1.159,0.511,1.161,0.612,1.018,1.479,0.923,0.792,0.154,0.964,1.294,1.084,0.975,-0.949,2.132,1.965,-0.387,1.563,1.475,1.805,2.33,1.24,-0.315,1.453,1.566,0.438,1.929,1.617,1.639,1.295,0.544
"8","Western Sahara","August",1.291,1.267,-1.38,-0.671,0.004,0.605,0.725,-0.781,-0.302,0.272,-0.381,-1.761,0.238,0.916,0.815,0.31,-1.284,-0.275,-0.223,0.972,0.117,-0.254,-1.093,-0.869,0.898,0.336,-0.718,1.201,1.692,2.315,1.628,1.051,0.136,0.932,1.209,-0.651,0.266,1.45,1.327,1.383,1.112,-1.374,1.288,2.012,0.807,0.527,0.422,2.217,1.358,1.711,1.232,2.132,1.708,1.189,1.296,1.467,2.099,0.625,1.281
"9","Western Sahara","September",0.591,1.145,-1.673,0.788,-1.786,0.064,0.29,0.736,-1.138,0.094,-1.052,-2.167,0.206,-0.324,0.363,-0.182,0.049,1.811,-0.442,0.651,0.227,-0.264,1.266,0.322,0.664,1.072,1.926,1.068,0.953,1.099,0.978,0.898,-0.444,0.174,0.453,0.408,0.778,0.852,1.105,0.569,0.567,1.919,1.331,1.137,0.371,0.462,0.35,0.802,0.945,2.035,1.688,1.792,0.547,1.66,1.127,1.294,1.682,1.23,1.274
"10","Western Sahara","October",-0.469,0.107,0.593,0.753,-1.749,-0.809,-0.305,1.975,-1.116,-0.11,2.129,1.169,-0.649,-1.023,0.356,-0.677,-0.461,0.485,-0.911,0.555,1.262,-0.263,2.215,0.887,2.751,-0.135,0.012,0.102,2.055,1.212,-0.057,-1.083,-0.408,0.236,1.742,0.857,1.087,0.993,0.966,0.003,1.932,1.762,0.778,1.965,1.334,1.903,0.543,-1.119,1.77,1.187,1.958,1.629,1.883,2.179,2.195,1.372,2.235,1.119,2.516
"11","Western Sahara","November",-0.787,-0.999,1.367,0.018,0.001,-1.436,-0.951,-0.002,1.203,0.618,-1.2,-0.573,1.081,-0.205,-1.01,-0.346,0.249,0.534,0.329,0.088,2.294,-0.097,1.906,-0.354,1.069,-0.278,1.466,0.69,0.871,0.304,0.62,0.41,-1.109,1.621,2.454,1.067,1.817,1.761,0.932,-0.168,1.03,1.308,0.575,1.426,0.607,3.323,1.491,-0.958,1.718,1.362,0.746,2.427,1.468,1.112,2.311,1.448,2.288,0.379,1.616
"12","Western Sahara","December",1.865,0.857,-0.509,-1.142,0.643,0.701,-1.258,0.65,-0.714,-0.283,-0.436,-1.116,-1.301,0.129,0.785,-0.071,1.789,1.617,1.174,0.102,2.064,-0.266,1.702,0.565,1.184,0.474,1.58,0.271,2.672,0.727,1.511,0.555,1.037,1.739,2.662,1.297,2.198,0.673,1.019,1.506,2.971,2.446,2.387,0.737,2.798,1.48,1.123,-0.291,2.814,3.259,1.544,1.504,2.031,0.969,3.208,2.71,1.257,2.611,3.237
