"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Yemen","January",0.543,-0.275,-0.232,0.197,-0.787,0.482,-0.4,-0.38,0.975,0.388,-0.945,0.173,-0.063,-0.533,-0.11,-0.643,0.17,-0.04,0.89,0.95,0.134,0.095,-0.045,-0.058,1.194,-1.38,-0.656,0.445,0.074,1.202,0.941,NA,0.689,-0.486,NA,0.862,-0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Yemen","February",0.139,-0.368,0.328,-0.01,-1.08,0.413,-0.011,-0.431,0.153,0.383,-0.721,-0.051,0.472,-0.105,0.017,0.141,-0.22,0.091,0.933,1.079,0.249,0.144,-0.548,-0.004,0.061,0.703,-0.272,1.533,0.891,1.219,NA,NA,-0.227,-0.403,NA,0.345,-0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Yemen","March",-0.128,0.16,-0.147,0.02,-1.171,-0.202,-0.173,-0.391,0.713,0.641,-0.233,0.127,0.247,-0.364,-0.307,-0.044,0.013,0.429,0.503,1.186,0.077,-0.788,-0.351,0.605,0.537,0.19,0.814,1.191,0.44,0.847,NA,NA,NA,0.283,0.507,NA,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Yemen","April",0.193,-0.001,0.416,-0.049,-0.744,-0.192,-0.452,-0.503,0.28,0.781,-0.391,-0.027,0.399,-0.064,0.142,-0.185,0.02,0.892,0.89,0.56,0.242,0.441,-0.452,0.449,1.025,0.322,-0.273,1.637,-0.213,0.321,NA,NA,-0.409,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Yemen","May",0.381,0.313,0.037,-0.101,-1.025,-0.891,-0.11,-0.559,0.322,1.331,0.2,-0.317,0.785,0.03,-0.004,-0.086,0.168,0.754,0.577,0.757,0.256,0.178,0.785,0.774,0.447,-0.247,0.067,1.038,0.4,0.744,NA,NA,NA,NA,NA,NA,0.058,1.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Yemen","June",0.301,-0.337,-0.179,-0.107,-0.534,-0.139,-0.478,-0.601,-0.179,0.413,0.046,0.567,0.155,-0.016,0.548,-0.018,0.906,1.273,0.413,1.947,-0.236,-0.331,-0.284,0.683,-0.377,0.659,0.419,0.067,0.08,0.516,0.316,NA,NA,NA,-1.087,NA,NA,1.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Yemen","July",-0.868,0.505,0.654,-0.696,-0.537,0.74,-0.908,-0.426,-0.2,0.451,0.434,0.581,0.995,0.533,0.559,0.345,1.693,-0.019,0.42,1.806,0.451,0.086,0.317,0.346,0.417,0.099,-0.775,0.899,0.258,0.475,NA,NA,NA,0.839,0.563,1.087,2.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Yemen","August",-0.823,0.102,0.705,-0.942,0.047,0.712,-0.223,-0.451,-0.094,0.296,0.625,0.345,0.359,0.045,-0.691,0.528,0.785,0.449,0.433,0.429,-0.211,0.489,1.032,0.795,1.151,0.219,0.969,NA,1.473,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Yemen","September",-0.025,0.528,0.045,-0.3,-0.297,0.055,0.261,0.094,-0.123,-0.273,-0.98,-0.106,0.291,0.378,1.021,0.2,0.431,-0.003,-0.003,0.239,-0.04,0.007,0.729,-0.059,0.573,-0.322,0.306,NA,0.685,0.839,-0.797,-0.173,NA,-0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Yemen","October",0.152,-0.792,-0.295,-0.227,-0.451,0.318,-0.044,0.211,-0.281,0.146,-0.272,-0.166,0.047,-0.083,0.01,0.024,-0.017,0.399,0.76,0.54,-0.22,-0.3,-0.159,-0.381,0.231,-0.537,0.387,0.512,0.404,-0.83,NA,NA,0.532,-1.043,NA,0.205,-0.421,1.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
