"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Yugoslav SFR","January",-0.02,1.503,-4.23,-3.532,1.274,-2.216,-1.91,-1.971,-1.342,1.293,1.613,0.7,0.397,1.813,1.945,0.712,2.141,0.793,-0.646,-1.756,-2.321,-0.053,2.751,1.388,-3.15,1.07,-1.613,3.714,0.745,0.433,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Yugoslav SFR","February",0.878,-1.829,-2.795,-0.854,-4.698,4.718,-0.244,1.796,-0.473,-0.28,0.451,1.897,0.479,3.064,-0.773,-0.912,3.956,0.042,1.125,0.559,-0.919,-1.832,-1.957,-0.778,-4.143,-2.654,0.45,1.318,2.485,3.936,-2.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Yugoslav SFR","March",1.885,-2.405,-1.534,-0.56,0.273,-0.501,1.274,0.296,-1.068,-0.575,-2.724,2.266,-1.372,1.755,1.94,-2.21,3.048,1.31,2.373,0.097,2.811,-0.437,1.496,-1.049,-0.117,-0.144,-4.604,-0.483,3.281,3.625,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Yugoslav SFR","April",2.998,0.601,0.842,0.647,-1.333,1.743,-0.545,2.397,-0.692,0.061,0.803,1.094,-1.532,-1.218,0.175,0.09,-0.622,-0.703,-1.19,-2.136,0.242,-1.656,2.113,-1.118,0.609,1.655,0.01,-0.151,2.177,0.067,-1.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Yugoslav SFR","May",-0.978,0.238,0.12,-0.419,-1.026,-0.078,0.47,2.096,2.595,-1.938,1.703,0.149,1.035,-1.269,1.117,-0.14,0.654,-1.365,0.498,-2.099,-0.257,0.773,1.454,-0.308,1.666,2.273,-1.373,0.844,-0.59,0.797,-2.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Yugoslav SFR","June",0.418,-1.383,0.778,1.56,0.026,0.036,-1.106,0.026,-1.002,0.406,-0.375,1.066,0.026,-1.307,-0.633,-1.001,-0.172,-0.61,1.558,-0.831,0.813,1.283,-0.853,-1.184,-1.119,-0.42,0.134,-0.297,-1.557,0.029,0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Yugoslav SFR","July",-0.797,-0.333,1.159,-0.319,0.511,-0.424,0.865,-0.172,-0.968,-0.432,-0.298,0.149,0.169,-0.532,0.026,-0.168,0.131,-0.962,-1.12,-0.686,-0.749,0.366,1.542,-1.047,0.69,-0.871,2.205,2.569,0.194,0.454,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Yugoslav SFR","August",-0.131,2.041,1.295,-0.879,-1.512,0.055,0.774,-1.61,-0.645,0.158,1.554,-0.873,-0.126,1.086,-0.694,-3.091,-0.328,-1.168,-1.072,0.046,-0.136,0.406,-0.001,-0.972,0.916,1.371,-0.258,1.659,0.252,0.598,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Yugoslav SFR","September",1.181,0.279,1.248,-0.731,0.583,0.467,1.019,-0.292,0.626,0.032,-2.327,-2.676,1.016,0.549,2.055,-1.501,-1.789,-1.689,-0.133,-0.138,0.683,2.825,0.075,0.107,0.604,0.384,3.449,0.27,-0.105,-0.984,1.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Yugoslav SFR","October",1.488,0.546,-0.223,0.433,-0.499,3.704,2.113,0.192,0.035,-1.005,-1.483,-2.815,-0.506,-2.432,-0.258,1.059,0.483,-0.596,-0.567,0.528,1.732,1.21,-0.303,1.861,-0.453,0.185,0.842,0.367,-0.228,1.575,-0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
