"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Zambia","January",0.172,-0.281,-0.295,0.307,-0.579,0.628,-0.189,-0.44,-0.058,0.079,-0.727,-0.598,0.885,-0.867,-0.301,-0.381,0.498,-0.018,0.263,0.634,0.27,0.432,1.122,0.461,0.711,0.134,0.997,1.084,-0.012,0.379,-0.074,0.887,-0.368,-0.247,0.264,NA,0.48,1.293,0.339,0.466,0.364,0.751,1.694,0.755,0.882,1.094,1.223,0.285,-0.409,1.396,1.116,0.86,1.068,0.785,1.876,1.46,0.377,2.175,1.989
"2","Zambia","February",-0.502,-0.067,-0.358,0.595,-0.27,0.269,-0.291,-0.113,0.012,0.379,-0.581,-0.514,0.131,-0.374,-0.08,-0.486,0.213,0.195,0.605,0.781,-0.018,0.495,1.332,0.448,0.074,0.21,1.194,0.961,-0.227,0.43,0.181,2.961,-0.7,-0.564,0.3,1.49,0.093,1.815,0.641,0.179,0.218,1.249,1.307,0.125,1.301,0.932,0.938,-0.041,0.341,1.116,0.852,0.235,1.44,0.564,2.303,2.014,0.376,1.332,0.478
"3","Zambia","March",0.137,-0.16,-0.348,0.741,-0.152,-0.236,-0.227,-0.556,0.13,0.102,0.122,-0.352,1.136,-0.418,-0.466,-0.44,-0.008,-0.062,0.122,0.107,-0.13,0.963,1.557,0.907,0.894,0.201,1.485,0.301,0.101,0.607,0.727,1.434,-0.608,0.814,0.012,1.2,1.215,1.996,0.438,-0.02,0.053,0.311,1.062,0.51,1.447,0.671,0.984,-0.218,-0.396,1.591,0.999,1.419,0.731,0.558,3.581,1.718,0.144,1.745,1.617
"4","Zambia","April",0.435,0.189,-0.49,-0.202,-0.568,-0.319,0.236,-0.352,0.59,0.134,0.319,-0.156,0.049,-0.728,-0.02,-0.567,-0.362,-0.194,0.188,0.321,-0.624,0.608,1.461,-0.002,-0.285,0.108,1.122,1.077,-0.24,0.722,-0.425,0.455,0.405,-0.084,0.367,0.498,-0.37,0.874,-0.098,-0.621,0.247,0.27,0.713,-0.157,1.005,0.363,0.788,-0.449,-0.699,1.039,1.311,-0.795,0.961,0.153,0.706,-1.202,0.048,-0.365,1.829
"5","Zambia","May",1.299,-1.655,-1.181,-0.566,-1.063,0.594,0.115,0.202,0.309,0.513,-0.402,0.374,0.829,-0.526,0.59,-0.893,0.77,-0.409,0.194,0.037,-1.056,-0.145,1.488,0.96,0.156,0.073,1.546,0.003,0.124,1.193,0.434,0.911,-1.56,0.454,0.867,0.839,-0.475,0.345,0.712,0.261,-0.029,0.307,0.344,-0.514,1.853,0.571,1.108,0.365,1.078,3.051,1.423,0.769,0.621,1.264,1.377,-0.902,1.233,1.196,2.339
"6","Zambia","June",0.869,0.277,-0.655,-0.413,-0.19,0.83,0.584,-0.788,0.422,0.885,-0.384,-0.418,-0.112,-0.489,-0.021,-0.147,0.353,-0.359,-0.167,-0.983,-0.67,0.846,1.663,0.493,-0.042,-0.361,-0.319,1.214,0.629,1.914,0.404,0.866,0.441,0.051,0.226,0.818,1.482,0.701,0.771,0.928,0.289,0.897,1.593,-0.246,1.781,0.744,1.246,0.058,2.528,1.363,2.379,0.963,1.182,1.421,1.409,1.899,0.548,1.584,1.738
"7","Zambia","July",0.693,0.288,0.379,-1.584,-0.342,0.283,0.105,0.607,0.374,1.071,0.486,-0.082,-0.095,-0.291,0.175,-0.454,0.492,-0.524,-0.001,-0.546,-0.353,0.511,1.328,0.81,0.333,-0.072,0.36,0.616,0.005,0.876,-0.063,0.382,0.605,0.613,0.348,-0.479,0.036,0.636,0.395,-0.416,-0.258,2.106,-0.165,0.832,0.689,0.471,0.831,1.612,0.83,1.527,0.733,1.047,0.692,2.141,1.864,1.558,1.63,-0.388,0.536
"8","Zambia","August",-1.16,0.001,-0.437,-0.321,-0.404,0.412,-0.242,0.474,0.721,0.955,0.054,-0.125,-0.149,0.487,-0.844,-1.179,0.526,1.041,0.643,0.115,0.63,0.113,-0.483,-0.049,-0.284,0.355,1.067,0.688,0.56,-0.021,0.209,0.074,0.188,0.736,1.65,0.931,0.909,0.314,0.296,-0.553,1.168,1.298,0.441,0.904,1.425,0.935,0.747,1.238,0.789,0.784,0.375,3.534,1.955,1.322,0.538,1.573,0.247,2.969,1.605
"9","Zambia","September",-0.116,-0.293,-0.147,-1.04,-0.38,0.193,-0.211,-0.047,0.386,0.806,-0.316,0.447,0.537,-1.049,-0.188,0.033,0.786,0.973,0.856,0.896,-0.448,-0.353,-0.037,0.87,0.294,-0.09,1.232,0.172,-0.163,-0.556,-0.61,-0.874,-0.013,0.479,0.658,0.718,0.768,0.544,-0.645,-0.282,0.593,0.098,0.483,0.139,0.313,0.078,1.045,0.542,1.102,1.424,0.624,1.402,1.886,0.378,1.692,1.708,0.567,2.496,-0.781
"10","Zambia","October",0.426,0.053,0.006,-0.401,-0.908,-0.195,0.178,0.616,0.097,-0.034,-0.456,0.005,-0.028,-0.027,-0.959,-0.347,1.193,0.228,0.226,-0.216,-0.699,-1.019,-0.221,0.983,-0.387,-0.706,-0.072,0.002,-0.38,0.43,-0.701,1.173,0.874,-0.542,1.232,0.314,-0.523,1.115,-0.758,0.269,0.657,-0.153,0.56,0.022,0.803,0.229,0.286,1.063,0.562,2.055,0.147,1.425,0.494,0.383,1.96,2.416,1.221,-1.085,1.662
