"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Zimbabwe","January",-0.49,-0.118,-0.658,0.195,-0.583,1.457,0.241,1.338,0.538,0.806,-0.899,-0.67,1.733,-0.382,-0.218,-0.478,1.287,-0.231,-0.277,0.379,0.555,0.647,2.192,1.107,0.25,-0.167,0.831,1.124,0.307,0.104,0.281,1.331,-0.252,-0.649,0.734,-0.274,-0.171,0.552,-0.098,-0.473,0.892,1.196,1.549,1.07,1.022,0.043,-0.2,-0.866,0.309,1.116,0.079,0.385,-0.192,0.054,0.504,1.316,-0.184,0.686,0.657
"2","Zimbabwe","February",-0.487,0.351,-1.055,0.527,0.698,-0.043,-0.514,-0.06,1.245,0.156,-0.7,-0.847,0.554,-0.521,-0.622,-0.534,-0.085,0.161,0.715,0.907,-0.394,0.417,1.324,0.28,-0.582,0.026,1.828,0.358,-0.466,-0.15,0.44,2.893,-0.6,-0.572,0.38,-0.687,-0.763,1.143,-0.644,-0.685,-0.44,0.873,1.558,0.116,1.227,0.241,0.792,-0.111,-0.196,1.065,-0.45,0.786,0.163,0.087,1.264,2.429,0.321,-0.797,0.411
"3","Zimbabwe","March",0.506,-0.015,-0.786,1.669,0.115,-0.695,-0.213,0.046,-0.016,0.337,0.95,-0.413,1.836,-0.521,-0.885,-0.442,-0.592,0.166,0.083,-0.153,-0.178,0.987,1.636,0.59,0.733,0.568,2.263,0.431,0.365,0.74,-0.473,1.622,-0.075,1.024,0.483,-0.878,0.086,2.058,0.451,0.096,-0.234,1.262,0.177,-0.49,0.785,-0.89,1.139,-0.399,-0.723,1.015,1.414,0.711,-0.078,0.417,1.24,1.816,-0.591,0.139,1.407
"4","Zimbabwe","April",0.925,0.342,-0.802,0.196,-0.369,-0.599,0.642,-0.055,0.257,-0.338,1.242,-0.306,-0.227,-1.615,-0.202,-0.945,-0.612,-0.708,0.316,0.261,-0.874,0.582,1.594,-0.013,-0.281,-0.004,1.857,1.279,-0.443,0.666,-1.657,1.659,0.847,0.526,0.464,-1.472,-0.629,1.015,-0.044,-0.549,0.249,0.132,-0.143,-0.522,0.704,-0.302,0.015,-0.94,-1.149,0.653,0.66,-0.824,-0.475,-0.608,0.124,0.575,-0.9,-0.215,1.094
"5","Zimbabwe","May",1.995,-1.495,-1.641,-0.57,-0.824,-0.135,0.171,0.484,-0.563,0.652,-0.783,-0.247,0.846,-0.806,0.778,-1.37,0.661,-0.481,0.264,0.268,-1.232,-0.419,1.851,1.118,-0.142,-0.26,2.15,0.089,0.467,0.466,-0.366,1.293,1.203,0.597,0.101,-0.259,-0.986,0.866,1.044,-1.081,-0.596,0.236,0.171,-1.492,1.343,-0.527,-0.743,0.652,0.326,1.855,0.647,0.581,-0.084,0.165,1.014,-0.661,0.074,0.86,0.857
"6","Zimbabwe","June",0.987,1.398,-0.375,-0.65,-0.589,0.809,1.096,-1.607,0.74,0.743,-0.314,-0.974,0.262,-0.437,-0.16,0.106,0.52,-0.841,0.116,-0.678,-0.76,0.647,1.892,0.346,0.033,-0.261,0.102,0.873,1.038,1.696,0.426,1.023,1.009,0.084,0.219,0.244,1.762,1.14,1.128,0.456,0.058,0.224,0.633,-0.288,2.281,-0.053,0.721,1.06,1.334,0.424,0.996,0.633,1.119,0.883,0.537,0.744,1.09,0.702,0.748
"7","Zimbabwe","July",0.672,0.295,0.182,-1.596,0.054,0.535,-0.92,1.058,0.157,1.081,0.48,-0.536,0.171,-0.241,0.105,-0.395,0.188,-0.921,-0.209,-0.848,-0.203,0.458,1.036,0.944,0.647,0.158,0.101,0.726,0.645,1.619,0.358,0.641,1.205,-0.831,0.858,-0.624,0.201,0.939,1.113,-0.307,-0.745,1.801,-0.713,-0.604,0.361,0.651,-0.231,1.197,-0.798,0.791,0.483,0.801,0.622,0.18,2.004,0.73,0.79,-0.203,1.106
"8","Zimbabwe","August",-1.095,0.39,-0.488,-0.721,0.058,0.213,-1.029,1.006,0.074,0.966,0.57,-0.589,-0.48,0.712,-0.93,-1.818,-0.001,1.907,0.96,-0.281,0.123,0.024,-1.1,-0.068,0.004,0.839,0.632,0.335,1.078,-0.303,0.49,-0.251,0.016,-0.558,1.407,0.14,0.845,0.175,0.279,-1.153,1.74,1.436,-0.05,0.605,2.334,-0.105,0.225,1.051,-0.381,-0.271,-0.492,0.642,1.444,0.715,1.138,0.596,0.095,2.769,1.882
"9","Zimbabwe","September",0.275,0.214,0.268,-0.456,-0.997,-0.213,-0.845,-0.3,-0.286,1.736,-0.098,0.469,1.068,-1.122,0.02,0.04,0.732,1.009,0.915,0.093,-0.662,-0.689,1.317,1.2,0.181,-0.11,1.467,0.192,0.452,-0.501,1.163,1.015,0.408,0.471,1.596,0.865,0.474,0.809,-0.309,-0.392,0.399,-0.217,0.204,-0.793,0.851,-0.436,1.296,0.915,0.092,1.597,0.939,1.597,1.787,0.74,1.141,1.622,1.001,2.95,0.059
"10","Zimbabwe","October",0.337,1.161,0.265,0.373,-1.934,-0.793,-0.004,0.848,-0.053,-0.349,-0.706,-0.311,-0.255,0.137,-1.292,-0.798,0.895,-0.116,0.387,-0.623,-2.283,-1.601,-0.874,0.461,-0.494,-0.575,-0.849,-0.303,-0.819,0.43,0.413,1.456,1.079,-1.903,2.601,0.659,-1.217,0.374,-1.185,-0.165,-0.225,-0.451,0.104,-0.778,1.002,1.158,-0.261,1.42,0.148,2.027,0.121,0.615,-0.638,0.138,1.855,2.084,0.915,-1.216,2.009
